prospect,route,draft_ref,approval_status,hold_date,send_date,reply,placement_url,link_destination,referral_visits,useful_visits
Sports Gambling Podcast Network (SGPN),https://www.sportsgamblingpodcast.com/contact/ (fallback: podcast@sportsgamblingpodcast.com from the public RSS feed),D1,prepared,2026-09-20,,,,,,
Sports Business Journal,news@sportsbusinessjournal.com,D2,prepared,2026-09-20,,,,,,
App Review Central,https://www.appreviewcentral.net/app-submission/ (free App of the Day form only),D3,prepared,2026-09-20,,,,,,
Ben Fawkes' Sports Betting Substack,https://substack.com/@bfawkes22 (Substack message),D4,prepared,2026-09-20,,,,,,
Circles Off / The Hammer Betting Network,atodds.podcast1@gmail.com (feed owner); contatc@thehammer.bet (as published); X @thehammerhq,D5,prepared,2026-09-20,,,,,,
Gambling With an Edge,rwmunchkin@gmail.com (feed owner); X @gwae_superblog,D6,prepared,2026-09-20,,,,,,
Sharp Football Analysis,sharp@sharpfootballanalysis.com,D7,prepared,2026-09-20,,,,,,
VSiN,https://www.vsin.com/contact/ (reason: I have an idea for VSiN),D8,prepared,2026-09-20,,,,,,
Front Office Sports,editors@frontofficesports.com,D9,prepared,2026-09-20,,,,,,
MacStories,https://www.macstories.net/about/ (editor contact links),D10,prepared,2026-09-20,,,,,,
TapSmart Indie Apps Showcase,tomjrolfe@intelligenti.com,D11,prepared,2026-09-20,,,,,,
Springboard by Daryl Baxter,springboard@darylbaxter.com (only if installable from the UK App Store),D12,prepared,2026-09-20,,,,,,
THE WINDOW with Matt Russell,https://mrussauthentic.substack.com/ (Substack message),D13,prepared,2026-09-20,,,,,,
